date|account|category|amount|currency|converted amount|currency|description||||
21/07/2018|Cash|Movie|-50|MYR|-50|MYR|Indecinelive|||Ice pack|1
21/07/2018|Cash|Eating out|-26|MYR|-26|MYR|Dinner (sentul) |||Icity |1
21/07/2018|Cash|Eating out|-5.65|MYR|-5.65|MYR|Supper (mcd) |||Idealtech deposit |1
21/07/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Lunch (chicken rice) |||Indecinelive|1
23/07/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Insurance |1
23/07/2018|Cash|Car|-19|MYR|-19|MYR|TM Parking|||Ipoh|2
24/07/2018|Cash|Eating out|-6.1|MYR|-6.1|MYR|Dinner mamak|||Ipoh breakfast |1
24/07/2018|Cash|Car|-68.4|MYR|-68.4|MYR|Petrol |||IT |1
24/07/2018|Cash|Trip|-309|MYR|-309|MYR|Thai baht|||Joker|2
24/07/2018|Cash|Eating out|-11.1|MYR|-11.1|MYR|Lunch (shihlin) |||Jumanji|1
25/07/2018|Cash|Eating out|-13|MYR|-13|MYR|Lunch (korean) |||Justin |5
25/07/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Karaoke |1
26/07/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"|Salary |||||Kek lapis|1
26/07/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Lunch (yeemee) |||Kelly castle|1
27/07/2018|Cash|Trip|-12|MYR|-12|MYR|Bus to klia|||Kenneth |3
27/07/2018|Cash|Eating out|-13|MYR|-13|MYR|Breakfast (mcd) |||Keyboard |2
29/07/2018|Cash|Tech|-148.7|MYR|-148.7|MYR|Wifi|||Kf|1
30/07/2018|Cash|Trip|-12|MYR|-12|MYR|Bus to kl sentral |||Kf |1
31/07/2018|Cash|Eating out|-8|MYR|-8|MYR|Lunch (butter chicken) |||King|3
31/07/2018|Cash|Eating out|-4|MYR|-4|MYR|Dinner mamak zapfan|||King |2
1/8/2018|Cash|Eating out|-9|MYR|-9|MYR|Lunch (zap fan)|||Kv kk|2
2/8/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Lunch (rib King) |||Kyrios |1
2/8/2018|Cash|Tech|-44.55|MYR|-44.55|MYR|Earphones |||L.lunch (smores) |1
2/8/2018|Cash|Car|-68.6|MYR|-68.6|MYR|Petrol |||Lacoste shoes|1
2/8/2018|Cash|Eating out|-20|MYR|-20|MYR|Dinner (malay store with jy)|||Last of Us|1
3/8/2018|Cash|Eating out|-8.5|MYR|-8.5|MYR|Lunch (zap fan)|||Lc|3
3/8/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Lc bet|1
3/8/2018|Cash|Books|-50|MYR|-50|MYR|Tuition replacement Bs (July 27th)|||Lc Cable|1
4/8/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Lc phone cover |1
6/8/2018|Cash|Tech|-7.76|MYR|-7.76|MYR|Audio splitter |||Leisure mall parking |1
6/8/2018|Cash|Eating out|-13.7|MYR|-13.7|MYR|Lunch (texas) |||Lens|1
7/8/2018|Cash|Eating out|-27.5|MYR|-27.5|MYR|Lunch (pasta zanmai) |||Lewis capaldi|1
7/8/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Light bulb|1
7/8/2018|Cash|Books|-188|MYR|-188|MYR|Harry Potter |||LM 白金|1
7/8/2018|Cash|Sports|-45|MYR|-45|MYR|Chariofare|||LOL Tshirt |1
8/8/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Lowyat parking |1
8/8/2018|Cash|Eating out|-16.5|MYR|-16.5|MYR|Lunch (farmers market) |||Luggage sorter mom |1
8/8/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Luna|1
8/8/2018|Cash|Movie|-55|MYR|-55|MYR|Movie (MI6) |||Lunch (103 cafe) |1
8/8/2018|Cash|Deposits|46|MYR|46|MYR|Movie tickets|||Lunch (aunty Anne's) |1
9/8/2018|Cash|Eating out|-16.4|MYR|-16.4|MYR|Dinner (hokkien mee) |||Lunch (bak kut teh) |2
9/8/2018|Cash|Eating out|-11.6|MYR|-11.6|MYR|Lunch (mamak) |||Lunch (bari uma) |1
10/8/2018|Cash|Eating out|-13|MYR|-13|MYR|Lunch (chicken plus) |||Lunch (bday cake) |1
10/8/2018|Cash|Salary|140|MYR|140|MYR|Tuition (shuhui) |||Lunch (bookmark Cafe) |1
10/8/2018|Cash|Allowance|-200|MYR|-200|MYR|Mom|||Lunch (bread) |2
11/8/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Lunch (chicken rice) |||Lunch (brussels) |1
12/8/2018|Cash|Eating out|-3|MYR|-3|MYR|Breakfast (horlicks) |||Lunch (burger King) |10
13/08/2018|Cash|Eating out|-11|MYR|-11|MYR|Lunch (korean) |||Lunch (burger lab) |3
13/08/2018|Cash|Salary|100|MYR|100|MYR|Tuition (shuhui) |||Lunch (burger on 16)|1
14/08/2018|Cash|Eating out|-13.7|MYR|-13.7|MYR|Lunch (texas) |||Lunch (burger) |1
14/08/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner panmee |||Lunch (butchers table) |1
14/08/2018|Cash|Medical|-80|MYR|-80|MYR|Allergy|||Lunch (butter chicken) |1
15/08/2018|Cash|Eating out|-4|MYR|-4|MYR|Lunch (zap fan)|||Lunch (chee cheong fun) |5
16/08/2018|Cash|Eating out|-5.6|MYR|-5.6|MYR|Lunch (bday cake) |||Lunch (chicken plus) |10
16/08/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Lunch (chicken rice) |59
17/08/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Dinner mamak|||Lunch (chilli panmee) |2
18/08/2018|Cash|Eating out|-9.9|MYR|-9.9|MYR|Lunch (chee cheong fun) |||Lunch (cili panmee) |1
20/08/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)|||Lunch (curee) |1
20/08/2018|Cash|Car|-71.7|MYR|-71.7|MYR|Petrol |||Lunch (curry laksa) |1
20/08/2018|Cash|Eating out|-7.4|MYR|-7.4|MYR|Dinner mamak|||Lunch (dah makan) |2
21/08/2018|Cash|Eating out|-24|MYR|-24|MYR|Lunch (korean) |||Lunch (dubuyo) |1
21/08/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Lunch (f2f) |1
22/08/2018|Cash|Eating out|-5|MYR|-5|MYR|Lunch (zap fan)|||Lunch (farmers market) |1
22/08/2018|Cash|Eating out|-10.4|MYR|-10.4|MYR|Dinner mcd|||Lunch (fish ball noodles) |1
23/08/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Lunch (fish head noodles) |1
23/08/2018|Cash|Eating out|-25.4|MYR|-25.4|MYR|Lunch (wong kok) |||Lunch (foodpanda) |4
25/08/2018|Cash|Eating out|-8.95|MYR|-8.95|MYR|Lunch (kfc) |||Lunch (fried rice) |1
27/08/2018|Cash|Eating out|-9.9|MYR|-9.9|MYR|Lunch (mamak) |||Lunch (fukiya) |1
27/08/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner panmee |||Lunch (gami) |1
27/08/2018|Cash|Car|-36.25|MYR|-36.25|MYR|Petrol |||Lunch (hawker) |1
28/08/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner thai|||Lunch (honey bunny) |1
28/08/2018|Cash|"Salary,""3"|"200.25"",MYR,""3"|"200.25"",MYR"|Salary |||||Lunch (ice cream quan) |1
29/08/2018|Cash|Tech|-157|MYR|-157|MYR|Wifi|||Lunch (kd) |2
29/08/2018|Cash|Eating out|-20|MYR|-20|MYR|Lunch (pasta zanmai) |||Lunch (kfc) |14
30/08/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)|||Lunch (Kim gary) |5
31/08/2018|Cash|Medical|-3.3|MYR|-3.3|MYR|Band-aid|||Lunch (kofix) |1
31/08/2018|Cash|Clothes|-192|MYR|-192|MYR|Bball Shoes |||Lunch (kompassion) |1
2/9/2018|Cash|Trip|-24|MYR|-24|MYR|Bus to klia|||Lunch (korean) |25
2/9/2018|Cash|Trip|-20|MYR|-20|MYR|Bus to kl sentral |||Lunch (little fat duck) |1
3/9/2018|Cash|Car|-54.55|MYR|-54.55|MYR|Petrol |||Lunch (mamak) |33
3/9/2018|Cash|Books|-10.75|MYR|-10.75|MYR|Chun yong pt3 maths |||Lunch (manhattan fish market) |1
3/9/2018|Cash|Eating out|-10.4|MYR|-10.4|MYR|Lunch (chicken rice) |||Lunch (marmalade) |1
3/9/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak zapfan|||Lunch (mcd) |13
3/9/2018|Cash|Car|-10|MYR|-10|MYR|Touch & Go|||Lunch (murni) |1
4/9/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Lunch (Nando's) |8
4/9/2018|Cash|Eating out|-13|MYR|-13|MYR|Lunch (korean) |||Lunch (nasi ganja) |1
5/9/2018|Cash|Eating out|-11.85|MYR|-11.85|MYR|Lunch (Nando's) |||Lunch (nasi kandar) |1
5/9/2018|Cash|Eating out|-4.3|MYR|-4.3|MYR|Snack (popiah) |||Lunch (nasi lemak) |4
5/9/2018|Cash|Eating out|-6.6|MYR|-6.6|MYR|Dinner mamak|||Lunch (ninjajoe) |7
5/9/2018|Cash|Salary|112.5|MYR|112.5|MYR|Tuition (replacement for Bs) |||Lunch (noodles) |4
5/9/2018|Cash|Salary|81.8|MYR|81.8|MYR|Tuition (Chunyong) |||Lunch (oiso) |1
6/9/2018|Cash|Eating out|-15.6|MYR|-15.6|MYR|Lunch (kfc) |||Lunch (Orale) |1
6/9/2018|Cash|Eating out|-3.6|MYR|-3.6|MYR|Dinner chago|||Lunch (panmee ) |4
7/9/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak zapfan|||Lunch (pasta zanmai) |5
7/9/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Lunch (pau) |1
8/9/2018|Cash|Car|-200|MYR|-200|MYR|Car battery |||Lunch (pizza mansion) |1
8/9/2018|Cash|Deposits|50|MYR|50|MYR|Bus to klia|||Lunch (pizza) |4
9/9/2018|Cash|Movie|-55.2|MYR|-55.2|MYR|Movie (equalizer) |||Lunch (plate and bowl) |1
9/9/2018|Cash|Deposits|30|MYR|30|MYR|Movie tickets|||Lunch (pork noodles) |1
11/9/2018|Cash|Car|-54.25|MYR|-54.25|MYR|Petrol |||Lunch (porridge) |1
11/9/2018|Cash|Eating out|-52.8|MYR|-52.8|MYR|Lunch (semenyih) |||Lunch (powerplant) |8
11/9/2018|Cash|Deposits|60|MYR|60|MYR|Broga trip|||Lunch (RHB) |91
11/9/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner (maistreet) |||Lunch (rib King) |3
11/9/2018|Cash|Eating out|-13.4|MYR|-13.4|MYR|Snacks |||Lunch (sakura sushi) |1
11/9/2018|Cash|Eating out|-9|MYR|-9|MYR|Lunch (bookmark Cafe) |||Lunch (secrets of louisiana) |1
12/9/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Lunch (semenyih) |1
12/9/2018|Cash|Eating out|-8.1|MYR|-8.1|MYR|Lunch (mamak) |||Lunch (shihlin) |1
12/9/2018|Cash|Salary|500|MYR|500|MYR|Tuition |||Lunch (smores) |13
14/09/2018|Cash|Tech|-28|MYR|-28|MYR|Mousepad|||Lunch (soy) |1
14/09/2018|Cash|Eating out|-8.8|MYR|-8.8|MYR|Lunch (noodles) |||Lunch (spaghetti) |3
15/09/2018|Cash|Car|-6|MYR|-6|MYR|Parking |||Lunch (subway) |10
15/09/2018|Cash|Allowance|-100|MYR|-100|MYR|Wedding |||Lunch (sukiya) |2
16/09/2018|Cash|Car|-1|MYR|-1|MYR|Parking |||Lunch (sushi zanmai) |1
16/09/2018|Cash|Car|-61|MYR|-61|MYR|Petrol |||Lunch (taiko ramen) |1
17/09/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Lunch (tapestry) |1
18/09/2018|Cash|Eating out|-17.9|MYR|-17.9|MYR|Lunch (little fat duck) |||Lunch (texas) |5
18/09/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Lunch (Thai) |1
19/09/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Lunch (three little pigs) |2
19/09/2018|Cash|Eating out|-8|MYR|-8|MYR|Lunch (zap fan)|||Lunch (toast and roast)|2
19/09/2018|Cash|Eating out|-7.7|MYR|-7.7|MYR|Dinner mamak|||Lunch (toast and roast) |2
20/09/2018|Cash|Eating out|-9.65|MYR|-9.65|MYR|Lunch (mamak) |||Lunch (trec)|5
21/09/2018|Cash|Eating out|-3.5|MYR|-3.5|MYR|Lunch (nasi lemak) |||Lunch (udon) |1
22/09/2018|Cash|Eating out|-4|MYR|-4|MYR|Dinner mamak|||Lunch (uncle don) |1
22/09/2018|Cash|Car|-2|MYR|-2|MYR|Parking |||Lunch (wantan mee) |2
24/09/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Lunch (Wendys) |1
24/09/2018|Cash|Eating out|-15.9|MYR|-15.9|MYR|Lunch (three little pigs) |||Lunch (wong kok) |11
25/09/2018|Cash|Eating out|-14|MYR|-14|MYR|Lunch (korean) |||Lunch (yeemee) |3
25/09/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Lunch (zap fan)|97
26/09/2018|Cash|Eating out|-8|MYR|-8|MYR|Lunch (zap fan)|||Lunch (zap fan) |12
26/09/2018|Cash|Eating out|-38|MYR|-38|MYR|Dinner (burger lab with bball ppl) |||Lunch mamak|2
26/09/2018|Cash|Car|-68.6|MYR|-68.6|MYR|Petrol |||Lunch teh ais|1
26/09/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"|Salary |||||Lunch with tony (ninjajoe) |1
27/09/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Dinner mamak|||Macau tea |3
27/09/2018|Cash|Eating out|-10.8|MYR|-10.8|MYR|Lunch (mamak) |||Malaysian extra |1
28/09/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Lunch (chicken rice) |||Mamak|2
28/09/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Mamak with seraya |1
29/09/2018|Cash|Tech|-166.55|MYR|-166.55|MYR|Wifi|||Mandeep kickstarter|1
1/10/2018|Cash|Eating out|-21|MYR|-21|MYR|Lunch (mcd) |||Marshall ear pad replacement|1
2/10/2018|Cash|Eating out|-16.9|MYR|-16.9|MYR|Lunch (pasta zanmai) |||Mcd parking |1
3/10/2018|Cash|Eating out|-15.9|MYR|-15.9|MYR|Lunch (three little pigs) |||Mi band 3|1
4/10/2018|Cash|Car|-63.5|MYR|-63.5|MYR|Petrol |||Mi band 4|1
5/10/2018|Cash|Eating out|-16|MYR|-16|MYR|Breakfast (mcd) |||Mi soundbar|1
5/10/2018|Cash|Eating out|-12.9|MYR|-12.9|MYR|Lunch (Kim gary) |||Miband strap|1
5/10/2018|Cash|Movie|-16|MYR|-16|MYR|Movie (venom) |||Milk|1
6/10/2018|Cash|Eating out|-13|MYR|-13|MYR|Dinner (quan) |||Mom|24
7/10/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Mom |12
7/10/2018|Cash|Eating out|-4|MYR|-4|MYR|Dinner mamak|||Mom  vacuum bag|1
8/10/2018|Cash|Eating out|-11|MYR|-11|MYR|Lunch (korean) |||Mom bag |1
8/10/2018|Cash|Eating out|-23|MYR|-23|MYR|Dinner (Thai bbq) |||Mom digi|7
9/10/2018|Cash|Eating out|-16.2|MYR|-16.2|MYR|Lunch (wong kok) |||Mom grab|2
10/10/2018|Cash|Eating out|-16|MYR|-16|MYR|Dinner panmee |||Mom lazada|3
10/10/2018|Cash|Eating out|-13|MYR|-13|MYR|Lunch (Nando's) |||Mom mirror|1
11/10/2018|Cash|Eating out|-10.6|MYR|-10.6|MYR|Lunch (mamak) |||Mom shirt|3
11/10/2018|Cash|Eating out|-9.6|MYR|-9.6|MYR|Dinner thai|||Mom shoerack|1
12/10/2018|Cash|Eating out|-5|MYR|-5|MYR|Lunch (zap fan)|||Mom table |1
12/10/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Mom trip|2
12/10/2018|Cash|Salary|82|MYR|82|MYR|Tuition (hongkai) |||Mom tripod|1
13/10/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner chicken rice |||Moms makeup|1
14/10/2018|Cash|Tech|-27.44|MYR|-27.44|MYR|Pendrive|||Monitor |2
15/10/2018|Cash|Eating out|-13.5|MYR|-13.5|MYR|Lunch (subway) |||Monitor mount |1
15/10/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner mamak|||Monster|1
15/10/2018|Cash|Car|-4.5|MYR|-4.5|MYR|Mcd parking |||Mouse|1
16/10/2018|Cash|Eating out|-7|MYR|-7|MYR|Dinner mamak|||Mousepad|2
16/10/2018|Cash|Car|-69.63|MYR|-69.63|MYR|Petrol |||Movie (aquaman) |1
16/10/2018|Cash|Eating out|-16.2|MYR|-16.2|MYR|Lunch (Kim gary) |||Movie (avengers) |1
17/10/2018|Cash|Eating out|-16.3|MYR|-16.3|MYR|Lunch (korean) |||Movie (bohemian rhapsody) |1
17/10/2018|Cash|Eating out|-4.5|MYR|-4.5|MYR|Dinner (nasi lemak) |||Movie (bumblebee) |1
18/10/2018|Cash|Eating out|-12.3|MYR|-12.3|MYR|Lunch (zap fan)|||Movie (captain marvel) |1
19/10/2018|Cash|Tech|-150|MYR|-150|MYR|Spiderman|||Movie (Dr doolittle) |1
20/10/2018|Cash|Eating out|-5|MYR|-5|MYR|Breakfast (drinks) |||Movie (equalizer) |1
21/10/2018|Cash|Eating out|-26|MYR|-26|MYR|Dinner (quan) |||Movie (holloween) |1
22/10/2018|Cash|Eating out|-6.2|MYR|-6.2|MYR|Lunch (zap fan)|||Movie (incredibles) |1
22/10/2018|Cash|Eating out|-27.5|MYR|-27.5|MYR|Dinner (korean bbq) |||Movie (joker) |1
23/10/2018|Cash|Communications|-30|MYR|-30|MYR|Reload |||Movie (MI6) |1
23/10/2018|Cash|Eating out|-9.1|MYR|-9.1|MYR|Lunch (mamak) |||Movie (mortal kombat) |1
23/10/2018|Cash|Car|-70.66|MYR|-70.66|MYR|Petrol |||Movie (peninsula) |1
23/10/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner panmee |||Movie (spiderman) |1
24/10/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner thai|||Movie (tenet) |1
24/10/2018|Cash|Eating out|-8|MYR|-8|MYR|Lunch (zap fan)|||Movie (venom) |1
25/10/2018|Cash|Eating out|-7.5|MYR|-7.5|MYR|Lunch (zap fan)|||Movie drinks|1
25/10/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Movie tickets|2
27/10/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (chicken rice) |||Movie tickets for Mom and Friends |1
27/10/2018|Cash|Eating out|-15|MYR|-15|MYR|Dinner mamak|||Mrt|1
28/10/2018|Cash|"Salary,""3"|"101.35"",MYR,""3"|"101.35"",MYR"|Salary |||||Muscle relaxer |1
28/10/2018|Cash|Tech|-174.85|MYR|-174.85|MYR|Wifi|||My town parking |3
29/10/2018|Cash|Eating out|-10.4|MYR|-10.4|MYR|Lunch (zap fan)|||MyRapid|1
29/10/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Nandos|1
30/10/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Nba|2
30/10/2018|Cash|Eating out|-19.2|MYR|-19.2|MYR|Lunch (pasta zanmai) |||Nyonya |1
31/10/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Lunch (toast and roast) |||One de land|1
31/10/2018|Cash|Eating out|-10|MYR|-10|MYR|Dinner mcd|||One Utama parking |3
1/11/2018|Cash|Eating out|-10|MYR|-10|MYR|Breakfast (168)|||Organiser|1
1/11/2018|Cash|Movie|-45|MYR|-45|MYR|Movie (holloween) |||Panadol |3
1/11/2018|Cash|Eating out|-10|MYR|-10|MYR|Lunch (spaghetti) |||Paper bag |1
2/11/2018|Cash|Car|-65.65|MYR|-65.65|MYR|Petrol |||Parking|7
2/11/2018|Cash|Allowance|-200|MYR|-200|MYR|Mom|||Parking |8
2/11/2018|Cash|"Trip,""-1"|"409.92"",MYR,""-1"|"409.92"",MYR"|Accommodation |||||Passport |1
2/11/2018|Cash|Eating out|-12.4|MYR|-12.4|MYR|Lunch (chicken rice) |||Peanut butter? |1
2/11/2018|Cash|Eating out|-5.5|MYR|-5.5|MYR|Dinner mamak zapfan|||Penalty |1
6/11/2018|Cash|Eating out|-4|MYR|-4|MYR|Lunch (zap fan)|||Pendrive|1
6/11/2018|Cash|Eating out|-20|MYR|-20|MYR|Dinner (spaghetti) |||Petrol|14
7/11/2018|Cash|Eating out|-11.55|MYR|-11.55|MYR|Lunch (subway) |||Petrol |83
7/11/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Phone|2
8/11/2018|Cash|Eating out|-11.9|MYR|-11.9|MYR|Lunch (Nando's) |||Phone holder|1
9/11/2018|Cash|Eating out|-9.9|MYR|-9.9|MYR|Lunch (chee cheong fun) |||Phone screen |1
9/11/2018|Cash|Eating out|-26.4|MYR|-26.4|MYR|Dinner (pizza) |||Photobook|2
9/11/2018|Cash|Tech|-50|MYR|-50|MYR|Steam (hff & overcook)|||Photobook mom|2
10/11/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Piercing |1
11/11/2018|Cash|Tech|-785.55|MYR|-785.55|MYR|Phone|||Plant|3
11/11/2018|Cash|Trip|-368.5|MYR|-368.5|MYR|USS |||Pool|2
11/11/2018|Cash|Eating out|-12.5|MYR|-12.5|MYR|One de land|||Pool |4
12/11/2018|Cash|Eating out|-30.5|MYR|-30.5|MYR|Lunch (mamak) |||Popcorn |1
12/11/2018|Cash|Allowance|-20|MYR|-20|MYR|LM 白金|||Popo kitchen |1
13/11/2018|Cash|"Medical,""-2"|"400"",MYR,""-2"|"400"",MYR"|Insurance |||||Powder|1
13/11/2018|Cash|Medical|-60|MYR|-60|MYR|Sore throat |||Programmable socket |1
13/11/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Ps4 spiderman |1
14/11/2018|Cash|Eating out|-12.9|MYR|-12.9|MYR|Lunch (chicken rice) |||Ptptn|2
14/11/2018|Cash|Eating out|-23|MYR|-23|MYR|Dinner (pho) |||Ptptn |27
14/11/2018|Cash|Movie|-10|MYR|-10|MYR|Movie (bohemian rhapsody) |||Puzzle |1
15/11/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)|||Pyramid parking |1
16/11/2018|Cash|Trip|-200|MYR|-200|MYR|Sg dollar |||R&R Snacks |1
16/11/2018|Cash|Trip|-93.8|MYR|-93.8|MYR|Dinner (Nyonya) |||Rack |1
16/11/2018|Cash|Trip|-7|MYR|-7|MYR|Sambal |||Rampage popcorn|1
17/11/2018|Cash|Deposits|80.4|MYR|80.4|MYR|Nyonya |||Raymond |2
17/11/2018|Cash|Deposits|200|MYR|200|MYR|Accommodation (wx) |||Ready Player One|1
19/11/2018|Cash|Trip|-15.3|MYR|-15.3|MYR|Beer|||Redbull|1
19/11/2018|Cash|Trip|-10.4|MYR|-10.4|MYR|Dinner mamak|||Refund |1
19/11/2018|Cash|Deposits|154|MYR|154|MYR|Malaysian extra |||Reload |27
19/11/2018|Cash|Trip|-2.9|MYR|-2.9|MYR|R&R Snacks |||Remember me|1
19/11/2018|Cash|Clothes|-140.7|MYR|-140.7|MYR|Lacoste shoes|||Remnant of the Ashes|1
19/11/2018|Cash|Clothes|-100|MYR|-100|MYR|G2000 pants |||Risk of Rain 2|1
19/11/2018|Cash|Trip|-62.7|MYR|-62.7|MYR|Petrol |||Road tax|2
19/11/2018|Cash|Allowance|-50|MYR|-50|MYR|Elaine|||Roomba|1
19/11/2018|Cash|Deposits|201.4|MYR|201.4|MYR|Accommodation (Ariff) |||Sakae sushi|1
19/11/2018|Cash|Deposits|201.4|MYR|201.4|MYR|Accommodation (Rachel) |||Saman|1
20/11/2018|Cash|Deposits|51.7|MYR|51.7|MYR|Elaine |||Sambal |1
20/11/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Sasaran |1
20/11/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner mamak|||Screen protector |2
20/11/2018|Cash|Eating out|-5|MYR|-5|MYR|Lunch (zap fan) |||Seraya|4
21/11/2018|Cash|Eating out|-17.3|MYR|-17.3|MYR|Lunch (Kim gary) |||Seraya |2
21/11/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Service |3
21/11/2018|Cash|Car|-67|MYR|-67|MYR|Petrol |||Sg dollar |1
22/11/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan)|||Shaver |1
22/11/2018|Cash|Medical|-3.8|MYR|-3.8|MYR|Powder|||Shennice|5
23/11/2018|Cash|Trip|-201.4|MYR|-201.4|MYR|Accommodation (Enin)|||Shingles |1
23/11/2018|Cash|Eating out|-3.5|MYR|-3.5|MYR|Lunch (zap fan)|||Shirt|8
23/11/2018|Cash|Tech|-115.21|MYR|-115.21|MYR|Ps4 spiderman |||Shisha|11
24/11/2018|Cash|Deposits|201.4|MYR|201.4|MYR|Accommodation (Cm) |||Shisha |2
24/11/2018|Cash|Trip|-56.45|MYR|-56.45|MYR|Airbnb dec|||Shoes |2
24/11/2018|Cash|Tech|-3|MYR|-3|MYR|Simcard|||Shopaholic abroad |1
24/11/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Lunch (chicken rice) |||Shopee|1
26/11/2018|Cash|Eating out|-17.5|MYR|-17.5|MYR|Lunch (pasta zanmai) |||Shuhui March |1
27/11/2018|Cash|Eating out|-9|MYR|-9|MYR|Lunch (zap fan)|||Simcard|1
27/11/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee |||Snack (croissant) |2
27/11/2018|Cash|"Salary,""3"|"150.85"",MYR,""3"|"150.85"",MYR"|Salary |||||Snack (popiah) |1
28/11/2018|Cash|Eating out|-7.5|MYR|-7.5|MYR|Lunch (toast and roast)|||Snacks |11
28/11/2018|Cash|Eating out|-5.5|MYR|-5.5|MYR|Lunch (mamak) |||Socket |1
29/11/2018|Cash|Tech|-168.55|MYR|-168.55|MYR|Wifi|||Soldering kit |1
29/11/2018|Cash|Eating out|-8|MYR|-8|MYR|Lunch (zap fan)|||Sore throat |2
3/12/2018|Cash|Eating out|-8|MYR|-8|MYR|Lunch (zap fan)|||Spades burger|2
3/12/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner panmee|||Specs |1
3/12/2018|Cash|Car|-65.7|MYR|-65.7|MYR|Petrol |||Specs (first half) |1
4/12/2018|Cash|Eating out|-13.9|MYR|-13.9|MYR|Lunch (Nando's) |||Specs (second half) |1
5/12/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Spiderman|1
5/12/2018|Cash|Eating out|-9|MYR|-9|MYR|Lunch (chicken rice) |||Spotify|2
7/12/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify |||Spotify |36
8/12/2018|Cash|Deposits|83|MYR|83|MYR|Viper (kk) |||Spotify (ariff) |1
8/12/2018|Cash|Deposits|20|MYR|20|MYR|Petrol|||Spray paint |3
8/12/2018|Cash|Eating out|-52|MYR|-52|MYR|Lunch (sukiya) |||Starbucks|1
