date|account|category|amount|currency|converted amount|currency|description||||
7/4/2018|Cash|Eating out|-26.5|MYR|-26.5|MYR|Dinner oregi|||Broga trip|3
7/4/2018|Cash|Books|-45|MYR|-45|MYR|Graduation photo|||Bumper bracket|1
9/4/2018|Cash|Communications|-30|MYR|-30|MYR|Reload |||Bus to kl sentral |2
9/4/2018|Cash|Eating out|-8.6|MYR|-8.6|MYR|Lunch (toast and roast) |||Bus to klia|3
10/4/2018|Cash|Car|-10|MYR|-10|MYR|Petrol|||Cable |2
11/4/2018|Cash|Eating out|-16.4|MYR|-16.4|MYR|Lunch (korean) |||Cake |1
11/4/2018|Cash|Car|-62.8|MYR|-62.8|MYR|Petrol|||Can you keep a Secret |1
11/4/2018|Cash|Eating out|-5.4|MYR|-5.4|MYR|Dinner mamak|||Cap|7
12/4/2018|Cash|Eating out|-2.7|MYR|-2.7|MYR|Breakfast (chipsmore) |||Car battery |2
12/4/2018|Cash|Eating out|-11.5|MYR|-11.5|MYR|Lunch (porridge) |||Car brake|1
13/04/2018|Cash|Eating out|-6|MYR|-6|MYR|Dinner mamak|||Car charger|1
13/04/2018|Cash|Eating out|-6|MYR|-6|MYR|Lunch (wantan mee) |||Car seat cover|1
13/04/2018|Cash|Salary|270|MYR|270|MYR|Tuition (shuhui +books) |||Chair|1
14/04/2018|Cash|Eating out|-14|MYR|-14|MYR|Ice cream|||Chariofare|1
16/04/2018|Cash|Eating out|-7|MYR|-7|MYR|Lunch (zap fan) |||Chocolate|1
16/04/2018|Cash|Eating out|-15|MYR|-15|MYR|Dinner mcd|||Christmas (bball kids) |2
17/04/2018|Cash|Eating out|-11.4|MYR|-11.4|MYR|Lunch (mamak) |||Christmas (kv) |1
17/04/2018|Cash|Eating out|-8|MYR|-8|MYR|Dinner mamak|||Christmas lights |1
18/04/2018|Cash|Eating out|-29.9|MYR|-29.9|MYR|Dinner (sushi tei)|||Chromecast |1
18/04/2018|Cash|Medical|-28|MYR|-28|MYR|Deodorant|||Chun yong |1
18/04/2018|Cash|Eating out|-7.7|MYR|-7.7|MYR|Lunch (yeemee) |||Chun yong pt3 maths |1
19/04/2018|Cash|Eating out|-19|MYR|-19|MYR|Lunch (bak kut teh) |||Citta mall parking |1
20/04/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Cj|2
21/04/2018|Cash|Movie|-13.8|MYR|-13.8|MYR|Rampage popcorn|||Ck|1
21/04/2018|Cash|Car|-1.5|MYR|-1.5|MYR|Leisure mall parking |||Ck & Cz|1
22/04/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner (chee cheong fun) |||Cm owe|1
22/04/2018|Cash|Food|-2.5|MYR|-2.5|MYR|Bread|||Cny clothes |1
22/04/2018|Cash|Communications|-5|MYR|-5|MYR|Dad reload |||Coffee |3
23/04/2018|Cash|Eating out|-14.5|MYR|-14.5|MYR|Lunch (mamak) |||Cologne|1
23/04/2018|Cash|Car|-31|MYR|-31|MYR|Petrol|||Condense milk|1
24/04/2018|Cash|Eating out|-12.8|MYR|-12.8|MYR|Lunch (murni) |||Controller |1
24/04/2018|Cash|Eating out|-9.5|MYR|-9.5|MYR|Dinner Chinese mamak |||Credit card |1
25/04/2018|Cash|Sports|-336|MYR|-336|MYR|Viper challenge (darien gab syah kk) |||Cz|2
25/04/2018|Cash|Eating out|-13.9|MYR|-13.9|MYR|Lunch (korean) |||Cz |2
26/04/2018|Cash|Eating out|-11.5|MYR|-11.5|MYR|Lunch (fish ball noodles) |||Cz bottle|1
26/04/2018|Cash|Car|-62.2|MYR|-62.2|MYR|Petrol|||Cz cake |1
27/04/2018|Cash|Eating out|-4.4|MYR|-4.4|MYR|Breakfast (mamak) |||Cz dumbbell|2
27/04/2018|Cash|Eating out|-7.5|MYR|-7.5|MYR|Lunch (zap fan) |||Cz leg|1
30/04/2018|Cash|Books|-35|MYR|-35|MYR|Tuition rental|||Cz phone cover|3
30/04/2018|Cash|Tech|-21.05|MYR|-21.05|MYR|Wifi|||Cz work|1
30/04/2018|Cash|"Salary,""3"|"090.85"",MYR,""3"|"090.85"",MYR"||||||Daboba|3
30/04/2018|Cash|Eating out|-17|MYR|-17|MYR|Lunch (mcd) |||Dad|7
1/5/2018|Cash|Books|-60|MYR|-60|MYR|Tuition replacement Bs (May 4th)|||Dad reload |1
1/5/2018|Cash|Books|-35|MYR|-35|MYR|Tuition rental|||Darts|1
2/5/2018|Cash|Eating out|-4.8|MYR|-4.8|MYR|Chocolate|||Dashcam|1
2/5/2018|Cash|Eating out|-9.2|MYR|-9.2|MYR|Lunch (mamak) |||Dead by daylight |1
3/5/2018|Cash|Eating out|-12.8|MYR|-12.8|MYR|Lunch (ninjajoe) |||Deadpool 2|1
3/5/2018|Cash|Eating out|-120.1|MYR|-120.1|MYR|Dinner (burger lab with bball ppl) |||Deodorant|2
3/5/2018|Cash|Car|-61|MYR|-61|MYR|Petrol|||Dinner (18noma)|1
4/5/2018|Cash|Eating out|-26.8|MYR|-26.8|MYR|Dinner (burger lab) |||Dinner (a&w) |1
4/5/2018|Cash|Eating out|-7.5|MYR|-7.5|MYR|Lunch (zap fan) |||Dinner (Ara Vietnamese) |1
5/5/2018|Cash|Eating out|-9|MYR|-9|MYR|Dinner (hainan) |||Dinner (Arabian) |1
7/5/2018|Cash|Deposits|51|MYR|51|MYR|Spotify (ariff) |||Dinner (bak kut teh) |2
7/5/2018|Cash|Music|-22.4|MYR|-22.4|MYR|Spotify|||Dinner (bat kin bat San) |1
7/5/2018|Cash|Eating out|-15.8|MYR|-15.8|MYR|Lunch (ninjajoe) |||Dinner (bens) |1
7/5/2018|Cash|Eating out|-6.5|MYR|-6.5|MYR|Dinner mamak|||Dinner (bookmark coffee) |1
7/5/2018|Cash|Salary|70|MYR|70|MYR|Chun yong |||Dinner (briyani) |1
8/5/2018|Cash|Eating out|-10|MYR|-10|MYR|Lunch (mamak) |||Dinner (burger king) |1
8/5/2018|Cash|Car|-100|MYR|-100|MYR|Touch & Go|||Dinner (burger lab with bball ppl) |2
